feature groups,pclmulqdq,monitor,movbe,aes,xsave,avx,f16c,rdrand,fsgsbase,bmi1,hle,avx2,bmi2,erms,rtm,mpx,avx512f,avx512dq,rdseed,adx,clflushopt,avx512cd,sha_ni,avx512bw,avx512vl,avx512vbmi,avx512_vbmi2,gfni,vaes,vpclmulqdq,avx512_vnni,avx512_bitalg,tme,avx512_vpopcntdq,rdpid,mmxext,rdtscp,abm,sse4a,misalignsse,3dnowprefetch,clzero,xsaveopt,xsavec,xgetbv1
"m5a.large, r5a.large, r5ad.large, m5ad.large, t3a.medium, t3a.xlarge, m5a.xlarge, r5a.xlarge, m5ad.xlarge, r5ad.xlarge, t3a.2xlarge, m5a.2xlarge, r5a.2xlarge, r5ad.2xlarge, m5ad.2xlarge, m5a.4xlarge, m5ad.4xlarge, r5a.4xlarge, r5ad.4xlarge, r5ad.8xlarge, r5a.8xlarge, m5a.8xlarge, m5ad.8xlarge, m5a.16xlarge, r5a.16xlarge, r5ad.16xlarge, m5ad.16xlarge",1,0,1,1,1,1,1,1,1,1,0,1,1,0,0,0,0,0,1,1,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,1,1,1,1,1,1
"c5ad.large, c5a.large, c5ad.xlarge, c5a.xlarge, c5ad.2xlarge, c5a.2xlarge, c5ad.4xlarge, c5a.4xlarge, c5a.8xlarge, c5ad.8xlarge, c5ad.16xlarge, c5a.16xlarge",1,0,1,1,1,1,1,1,1,1,0,1,1,0,0,0,0,0,1,1,1,0,1,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,1,1,1,1,1,1,1
"t2.large, c4.large, m4.large, c4.xlarge, m4.xlarge, m4.2xlarge, c4.2xlarge, t2.2xlarge, m4.4xlarge, c4.4xlarge",1,0,1,1,1,1,1,1,1,1,0,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,1,0,0
"r6a.large, c6a.large, m6a.large, c6a.xlarge, r6a.xlarge, m6a.xlarge, r6a.2xlarge, c6a.2xlarge, m6a.2xlarge, r6a.4xlarge, c6a.4xlarge, m6a.4xlarge, c6a.8xlarge, r6a.8xlarge, m6a.8xlarge, c6a.16xlarge, r6a.16xlarge, m6a.16xlarge",1,0,1,1,1,1,1,1,1,1,0,1,1,1,0,0,0,0,1,1,1,0,1,0,0,0,0,0,1,1,0,0,0,0,1,1,1,1,1,1,1,1,1,1,1
"c6in.large, r6id.large, r6in.large, c6id.large, r6idn.large, m6id.large, i4i.large, m6in.large, m6idn.large, m6i.large, c6i.large, r6i.large, c6id.xlarge, r6id.xlarge, m6in.xlarge, i4i.xlarge, c6in.xlarge, r6in.xlarge, m6id.xlarge, r6idn.xlarge, m6idn.xlarge, i4i.2xlarge, r6in.2xlarge, r6id.2xlarge, m6in.2xlarge, m6id.2xlarge, m6idn.2xlarge, r6idn.2xlarge, c6in.2xlarge, r6i.2xlarge, m6i.2xlarge, c6i.2xlarge, c6id.2xlarge, r6in.4xlarge, m6in.4xlarge, r6i.4xlarge, c6i.4xlarge, c6id.4xlarge, m6id.4xlarge, r6id.4xlarge, c6in.4xlarge, i4i.4xlarge, m6idn.4xlarge, r6idn.4xlarge, m6i.4xlarge, r6in.8xlarge, m6idn.8xlarge, r6idn.8xlarge, m6in.8xlarge, c6id.8xlarge, c6i.8xlarge, m6i.8xlarge, c6in.8xlarge, m6id.8xlarge, r6id.8xlarge, i4i.8xlarge, r6i.8xlarge",1,0,1,1,1,1,1,1,1,1,0,1,1,1,0,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,1,1,0,0,1,0,1,1,1
"c5.large, m5d.large, r5d.large, i3en.large, r5.large, t3.medium, m5d.xlarge, t3.xlarge, r5d.xlarge, c5.xlarge, m5.xlarge, i3en.xlarge, r5d.2xlarge, m5d.2xlarge, c5.2xlarge, m5.2xlarge, r5.2xlarge, c5.4xlarge, r5.4xlarge, m5.4xlarge, r5.8xlarge, r5d.8xlarge, m5d.16xlarge, r5.16xlarge, r5d.16xlarge",1,0,1,1,1,1,1,1,1,1,0,1,1,1,0,1,1,1,1,1,1,1,0,1,1,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,1,0,1,1,1
"m5zn.large, r5dn.large, r5b.large, m5dn.large, m5n.large, r5n.large, r5b.xlarge, m5dn.xlarge, r5dn.xlarge, m5zn.xlarge, r5n.xlarge, r5dn.2xlarge, r5b.2xlarge, m5zn.2xlarge, m5dn.2xlarge, m5n.2xlarge, r5n.2xlarge, r5dn.4xlarge, m5dn.4xlarge, r5b.4xlarge, r5n.4xlarge, m5n.4xlarge, r5dn.8xlarge, r5n.8xlarge, r5b.8xlarge, m5n.8xlarge, m5dn.8xlarge, r5b.16xlarge, r5dn.16xlarge, r5n.16xlarge, m5dn.16xlarge, m5n.16xlarge",1,0,1,1,1,1,1,1,1,1,0,1,1,1,0,1,1,1,1,1,1,1,0,1,1,0,0,0,0,0,1,0,0,0,0,0,1,1,0,0,1,0,1,1,1
"r4.large, i3.large, r4.xlarge, i3.xlarge, r4.2xlarge, i3.2xlarge, i3.4xlarge, r4.4xlarge",1,0,1,1,1,1,1,1,1,1,1,1,1,1,1,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,1,0,1,0,0
"z1d.large, c5d.large, c5n.large, m5.large, z1d.xlarge, c5d.xlarge, c5n.xlarge, z1d.2xlarge, c5d.2xlarge, i3en.2xlarge, c5n.2xlarge, t3.2xlarge, m5d.4xlarge, r5d.4xlarge, c5n.4xlarge, c5d.4xlarge, m5d.8xlarge, m5.8xlarge, m5.16xlarge",1,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,1,1,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,1,0,1,1,1
"m6idn.16xlarge, m6i.16xlarge, c6id.16xlarge, r6idn.16xlarge, r6id.16xlarge, i4i.16xlarge, c6in.16xlarge, m6id.16xlarge, m6in.16xlarge, c6i.16xlarge, r6in.16xlarge, r6i.16xlarge",1,1,1,1,1,1,1,1,1,1,0,1,1,1,0,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,1,1,0,0,1,0,1,1,1
m4.16xlarge,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,1,0,0
"r4.8xlarge, i3.8xlarge, r4.16xlarge, i3.16xlarge",1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,1,0,1,0,0
