feature groups,pclmulqdq,monitor,movbe,aes,xsave,avx,f16c,rdrand,fsgsbase,bmi1,hle,avx2,bmi2,erms,rtm,mpx,avx512f,avx512dq,rdseed,adx,clflushopt,avx512cd,sha_ni,avx512bw,avx512vl,avx512vbmi,avx512_vbmi2,gfni,vaes,vpclmulqdq,avx512_vnni,avx512_bitalg,tme,avx512_vpopcntdq,rdpid,mmxext,rdtscp,abm,sse4a,misalignsse,3dnowprefetch,clzero,xsaveopt,xsavec,xgetbv1
"m5a.large, r5a.large, t3a.medium",1,0,1,1,1,1,1,1,1,1,0,1,1,0,0,0,0,0,1,1,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,1,1,1,1,1,1
"c4.large, m4.large, t2.large",1,0,1,1,1,1,1,1,1,1,0,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,1,0,0
"c6a.large, m6a.large, r6a.large",1,0,1,1,1,1,1,1,1,1,0,1,1,1,0,0,0,0,1,1,1,0,1,0,0,0,0,0,1,1,0,0,0,0,1,1,1,1,1,1,1,1,1,1,1
"c6i.large, i4i.large, m6i.large, r6i.large",1,0,1,1,1,1,1,1,1,1,0,1,1,1,0,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,1,1,0,0,1,0,1,1,1
"c5.large, m5.xlarge, r5.large, t3.medium, i3en.large",1,0,1,1,1,1,1,1,1,1,0,1,1,1,0,1,1,1,1,1,1,1,0,1,1,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,1,0,1,1,1
"m5dn.large, r5b.large",1,0,1,1,1,1,1,1,1,1,0,1,1,1,0,1,1,1,1,1,1,1,0,1,1,0,0,0,0,0,1,0,0,0,0,0,1,1,0,0,1,0,1,1,1
"i3.large, r4.large",1,0,1,1,1,1,1,1,1,1,1,1,1,1,1,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,1,0,1,0,0
"m5.large, t3.2xlarge, c5d.large, i3en.2xlarge, r5d.4xlarge, z1d.large",1,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,1,1,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,1,0,1,1,1
"c6i.16xlarge, i4i.16xlarge, m6i.16xlarge, r6i.16xlarge",1,1,1,1,1,1,1,1,1,1,0,1,1,1,0,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,1,1,0,0,1,0,1,1,1
"i3.8xlarge, r4.8xlarge",1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,1,0,1,0,0
