,CloudProvider,Architecture,InstanceCategory,InstanceType,GCPCategory,AzureCategory,Coremark Score,Normalized Coremark,CPU(s),BogoMIPS,Byte Order,CPU MHz,CPU Platform,CPU family,CPU max MHz,CPU min MHz,Core(s) per socket,Current Speed,Flags,Hypervisor vendor,L1d cache,L1i cache,L2 cache,L3 cache,Max Speed,Model,Model name,NUMA node(s),NUMA node0 CPU(s),NUMA node1 CPU(s),NUMA node10 CPU(s),NUMA node11 CPU(s),NUMA node2 CPU(s),NUMA node3 CPU(s),NUMA node4 CPU(s),NUMA node5 CPU(s),NUMA node6 CPU(s),NUMA node7 CPU(s),NUMA node8 CPU(s),NUMA node9 CPU(s),On-line CPU(s) list,Socket(s),Stepping,Thread(s) per core,Vendor ID,Virtualization,Virtualization type,Memory(GiB),StdDev,StdDev%,#Runs,CPU Platform simple,CPU Platform Specific,Standard Deviation (%),Sample Count,CPU op-mode(s)_bit#1,CPU op-mode(s)_bit#2,AzureType,AzureVersion
,GCP,x86_64,t2d,t2d-standard-2,t2dstandard,_,58601,1,2,4899.99,Little Endian,2449.998,0,25,0,0,2,0,fpu vme de pse tsc msr pae mce cx8 apic sep mtrr pge mca cmov pat pse36 clflush mmx fxsr sse sse2 ht syscall nx mmxext fxsr_opt pdpe1gb rdtscp lm constant_tsc rep_good nopl nonstop_tsc cpuid extd_apicid tsc_known_freq pni pclmulqdq ssse3 fma cx16 pcid sse4_1 sse4_2 movbe popcnt aes xsave avx f16c rdrand hypervisor lahf_lm cmp_legacy cr8_legacy abm sse4a misalignsse 3dnowprefetch osvw topoext invpcid_single ssbd ibrs ibpb stibp vmmcall fsgsbase tsc_adjust bmi1 avx2 smep bmi2 erms invpcid rdseed adx smap clflushopt clwb sha_ni xsaveopt xsavec xgetbv1 clzero xsaveerptr arat npt nrip_save umip rdpid,KVM,32,32,512,32768,0,1,AMD EPYC 7B13,1,"0,1",0,0,0,0,0,0,0,0,0,0,0,"0,1",1,0,1,AuthenticAMD,0,full,0,0,0,0,Milan,AMD Milan,3.64,1888,32,64,,
,AWS,aarch64,c7g,c7g.large,0,_,51131.27956,1,2,2100,Little Endian,2600,0,0,0,0,2,2600,fp asimd evtstrm aes pmull sha1 sha2 crc32 atomics fphp asimdhp cpuid asimdrdm jscvt fcma lrcpc dcpop sha3 sm3 sm4 asimddp sha512 sve asimdfhm dit uscat ilrcpc flagm ssbs paca pacg dcpodp svei8mm svebf16 i8mm bf16 dgh rng,0,64,64,1024,32768,2600,1,0,1,"0,1",0,0,0,0,0,0,0,0,0,0,0,"0,1",1,r1p1,1,ARM,0,0,0,0,0,0,0,0,0,0,32,64,,
,AZURE,x86_64,Standard,Standard_B2s,0,StandardBs_,44147,1,2,5187.81,Little Endian,2593.906,0,6,0,0,2,0,fpu vme de pse tsc msr pae mce cx8 apic sep mtrr pge mca cmov pat pse36 clflush mmx fxsr sse sse2 ss ht syscall nx pdpe1gb rdtscp lm constant_tsc rep_good nopl xtopology cpuid pni pclmulqdq ssse3 fma cx16 pcid sse4_1 sse4_2 movbe popcnt aes xsave avx f16c rdrand hypervisor lahf_lm abm 3dnowprefetch invpcid_single pti fsgsbase bmi1 hle avx2 smep bmi2 erms invpcid rtm avx512f avx512dq rdseed adx smap clflushopt avx512cd avx512bw avx512vl xsaveopt xsavec xsaves md_clear,Microsoft,32,32,1024,36608,0,85,Intel(R) Xeon(R) Platinum 8272CL CPU @ 2.60GHz,1,"0,1",0,0,0,0,0,0,0,0,0,0,0,"0,1",1,7,1,GenuineIntel,0,full,4,397,0.90%,28,0,0,0,0,32,64,StandardBs,
,AWS,x86_64,m5zn,m5zn.large,0,_,43746.12665,1,2,7599.99,Little Endian,4505.698,0,6,0,0,1,3800,fpu vme de pse tsc msr pae mce cx8 apic sep mtrr pge mca cmov pat pse36 clflush mmx fxsr sse sse2 ss ht syscall nx pdpe1gb rdtscp lm constant_tsc rep_good nopl xtopology nonstop_tsc cpuid aperfmperf tsc_known_freq pni pclmulqdq ssse3 fma cx16 pcid sse4_1 sse4_2 x2apic movbe popcnt tsc_deadline_timer aes xsave avx f16c rdrand hypervisor lahf_lm abm 3dnowprefetch invpcid_single pti fsgsbase tsc_adjust bmi1 avx2 smep bmi2 erms invpcid mpx avx512f avx512dq rdseed adx smap clflushopt clwb avx512cd avx512bw avx512vl xsaveopt xsavec xgetbv1 xsaves ida arat pku ospke avx512_vnni,KVM,32,32,1024,25344,4500,85,Intel(R) Xeon(R) Platinum 8252C CPU @ 3.80GHz,1,"0,1",0,0,0,0,0,0,0,0,0,0,0,"0,1",1,7,2,GenuineIntel,0,full,0,0,0,0,0,0,0,0,32,64,,
,AWS,x86_64,r6a,r6a.large,0,_,41808.20486,1,2,5299.98,Little Endian,3249.463,0,25,0,0,1,2650,fpu vme de pse tsc msr pae mce cx8 apic sep mtrr pge mca cmov pat pse36 clflush mmx fxsr sse sse2 ht syscall nx mmxext fxsr_opt pdpe1gb rdtscp lm constant_tsc rep_good nopl nonstop_tsc cpuid extd_apicid aperfmperf tsc_known_freq pni pclmulqdq ssse3 fma cx16 pcid sse4_1 sse4_2 x2apic movbe popcnt aes xsave avx f16c rdrand hypervisor lahf_lm cmp_legacy cr8_legacy abm sse4a misalignsse 3dnowprefetch topoext invpcid_single ssbd ibrs ibpb stibp vmmcall fsgsbase bmi1 avx2 smep bmi2 erms invpcid rdseed adx smap clflushopt clwb sha_ni xsaveopt xsavec xgetbv1 clzero xsaveerptr rdpru wbnoinvd arat npt nrip_save vaes vpclmulqdq rdpid,KVM,32,32,512,4096,3725,1,AMD EPYC 7R13 Processor,1,"0,1",0,0,0,0,0,0,0,0,0,0,0,"0,1",1,1,2,AuthenticAMD,0,full,0,0,0,0,0,0,0,0,32,64,,
,GCP,x86_64,c2d,c2d-highcpu-2,c2dhighcpu,_,41513,1,2,6099.99,Little Endian,3049.998,0,25,0,0,1,0,fpu vme de pse tsc msr pae mce cx8 apic sep mtrr pge mca cmov pat pse36 clflush mmx fxsr sse sse2 ht syscall nx mmxext fxsr_opt pdpe1gb rdtscp lm constant_tsc rep_good nopl nonstop_tsc cpuid extd_apicid tsc_known_freq pni pclmulqdq ssse3 fma cx16 pcid sse4_1 sse4_2 movbe popcnt aes xsave avx f16c rdrand hypervisor lahf_lm cmp_legacy cr8_legacy abm sse4a misalignsse 3dnowprefetch osvw topoext invpcid_single ssbd ibrs ibpb stibp vmmcall fsgsbase tsc_adjust bmi1 avx2 smep bmi2 erms invpcid rdseed adx smap clflushopt clwb sha_ni xsaveopt xsavec xgetbv1 clzero xsaveerptr arat npt nrip_save umip rdpid,KVM,32,32,512,32768,0,1,AMD EPYC 7B13,1,"0,1",0,0,0,0,0,0,0,0,0,0,0,"0,1",1,0,2,AuthenticAMD,0,full,0,0,0,0,Milan,AMD Milan,1.55,76,32,64,,
,GCP,x86_64,c2d,c2d-standard-2,c2dstandard,_,41509,1,2,6100,Little Endian,3050,0,25,0,0,1,0,fpu vme de pse tsc msr pae mce cx8 apic sep mtrr pge mca cmov pat pse36 clflush mmx fxsr sse sse2 ht syscall nx mmxext fxsr_opt pdpe1gb rdtscp lm constant_tsc rep_good nopl nonstop_tsc cpuid extd_apicid tsc_known_freq pni pclmulqdq ssse3 fma cx16 pcid sse4_1 sse4_2 movbe popcnt aes xsave avx f16c rdrand hypervisor lahf_lm cmp_legacy cr8_legacy abm sse4a misalignsse 3dnowprefetch osvw topoext invpcid_single ssbd ibrs ibpb stibp vmmcall fsgsbase tsc_adjust bmi1 avx2 smep bmi2 erms invpcid rdseed adx smap clflushopt clwb sha_ni xsaveopt xsavec xgetbv1 clzero xsaveerptr arat npt nrip_save umip rdpid,KVM,32,32,512,32768,0,1,AMD EPYC 7B13,1,"0,1",0,0,0,0,0,0,0,0,0,0,0,"0,1",1,0,2,AuthenticAMD,0,full,0,0,0,0,Milan,AMD Milan,1.36,4788,32,64,,
,AWS,x86_64,c6a,c6a.large,0,_,41485.16905,1,2,5300.16,Little Endian,2889.735,0,25,0,0,1,2650,fpu vme de pse tsc msr pae mce cx8 apic sep mtrr pge mca cmov pat pse36 clflush mmx fxsr sse sse2 ht syscall nx mmxext fxsr_opt pdpe1gb rdtscp lm constant_tsc rep_good nopl nonstop_tsc cpuid extd_apicid aperfmperf tsc_known_freq pni pclmulqdq ssse3 fma cx16 pcid sse4_1 sse4_2 x2apic movbe popcnt aes xsave avx f16c rdrand hypervisor lahf_lm cmp_legacy cr8_legacy abm sse4a misalignsse 3dnowprefetch topoext invpcid_single ssbd ibrs ibpb stibp vmmcall fsgsbase bmi1 avx2 smep bmi2 erms invpcid rdseed adx smap clflushopt clwb sha_ni xsaveopt xsavec xgetbv1 clzero xsaveerptr rdpru wbnoinvd arat npt nrip_save vaes vpclmulqdq rdpid,KVM,32,32,512,4096,3725,1,AMD EPYC 7R13 Processor,1,"0,1",0,0,0,0,0,0,0,0,0,0,0,"0,1",1,1,2,AuthenticAMD,0,full,0,0,0,0,0,0,0,0,32,64,,
,GCP,x86_64,c2d,c2d-highmem-2,c2dhighmem,_,41429,1,2,6099.99,Little Endian,3049.998,0,25,0,0,1,0,fpu vme de pse tsc msr pae mce cx8 apic sep mtrr pge mca cmov pat pse36 clflush mmx fxsr sse sse2 ht syscall nx mmxext fxsr_opt pdpe1gb rdtscp lm constant_tsc rep_good nopl nonstop_tsc cpuid extd_apicid tsc_known_freq pni pclmulqdq ssse3 fma cx16 pcid sse4_1 sse4_2 movbe popcnt aes xsave avx f16c rdrand hypervisor lahf_lm cmp_legacy cr8_legacy abm sse4a misalignsse 3dnowprefetch osvw topoext invpcid_single ssbd ibrs ibpb stibp vmmcall fsgsbase tsc_adjust bmi1 avx2 smep bmi2 erms invpcid rdseed adx smap clflushopt clwb sha_ni xsaveopt xsavec xgetbv1 clzero xsaveerptr arat npt nrip_save umip rdpid,KVM,32,32,512,32768,0,1,AMD EPYC 7B13,1,"0,1",0,0,0,0,0,0,0,0,0,0,0,"0,1",1,0,2,AuthenticAMD,0,full,0,0,0,0,Milan,AMD Milan,1.53,72,32,64,,
,AWS,aarch64,c6gn,c6gn.large,0,_,39445.13839,1,2,243.75,Little Endian,2500,0,0,0,0,2,2500,fp asimd evtstrm aes pmull sha1 sha2 crc32 atomics fphp asimdhp cpuid asimdrdm lrcpc dcpop asimddp ssbs,0,64,64,1024,32768,2500,1,Neoverse-N1,1,"0,1",0,0,0,0,0,0,0,0,0,0,0,"0,1",1,r3p1,1,ARM,0,0,0,0,0,0,0,0,0,0,32,64,,
