,Architecture,BogoMIPS,Byte Order,CPU MHz,CPU Platform,CPU family,CPU max MHz,CPU min MHz,CPU op-mode(s),CPU(s),CloudProvider,Core(s) per socket,Current Speed,Flags,Hypervisor vendor,InstanceCategory,InstanceType,L1d cache,L1i cache,L2 cache,L3 cache,Max Speed,Model,Model name,NUMA node(s),NUMA node0 CPU(s),NUMA node1 CPU(s),NUMA node10 CPU(s),NUMA node11 CPU(s),NUMA node2 CPU(s),NUMA node3 CPU(s),NUMA node4 CPU(s),NUMA node5 CPU(s),NUMA node6 CPU(s),NUMA node7 CPU(s),NUMA node8 CPU(s),NUMA node9 CPU(s),On-line CPU(s) list,Socket(s),Stepping,Thread(s) per core,Vendor ID,Virtualization,Virtualization type
0,aarch64,166.66,Little Endian,2500 MHz,,,,,"32-bit, 64-bit",8,AWS,4,2500 MHz,fp asimd evtstrm aes pmull sha1 sha2 crc32 cpuid,,a1,a1.2xlarge,32K,48K,2048K,,2500 MHz,3,Cortex-A72,1,0-7,,,,,,,,,,,,0-7,2,r0p3,1,ARM,,
1,aarch64,166.66,Little Endian,2500 MHz,,,,,"32-bit, 64-bit",16,AWS,4,2500 MHz,fp asimd evtstrm aes pmull sha1 sha2 crc32 cpuid,,a1,a1.4xlarge,32K,48K,2048K,,2500 MHz,3,Cortex-A72,1,0-15,,,,,,,,,,,,0-15,4,r0p3,1,ARM,,
2,aarch64,166.66,Little Endian,2500 MHz,,,,,"32-bit, 64-bit",2,AWS,2,2500 MHz,fp asimd evtstrm aes pmull sha1 sha2 crc32 cpuid,,a1,a1.large,32K,48K,2048K,,2500 MHz,3,Cortex-A72,1,"0,1",,,,,,,,,,,,"0,1",1,r0p3,1,ARM,,
3,aarch64,166.66,Little Endian,2500 MHz,,,,,"32-bit, 64-bit",1,AWS,1,2500 MHz,fp asimd evtstrm aes pmull sha1 sha2 crc32 cpuid,,a1,a1.medium,32K,48K,2048K,,2500 MHz,3,Cortex-A72,1,0,,,,,,,,,,,,0,1,r0p3,1,ARM,,
4,aarch64,166.66,Little Endian,2500 MHz,,,,,"32-bit, 64-bit",4,AWS,4,2500 MHz,fp asimd evtstrm aes pmull sha1 sha2 crc32 cpuid,,a1,a1.xlarge,32K,48K,2048K,,2500 MHz,3,Cortex-A72,1,0-3,,,,,,,,,,,,0-3,1,r0p3,1,ARM,,
5,x86_64,3600.08,Little Endian,1800.091,,6,,,"32-bit, 64-bit",8,AWS,8,1800 MHz,fpu vme de pse tsc msr pae mce cx8 apic sep mtrr pge mca cmov pat pse36 clflush mmx fxsr sse sse2 ht syscall nx rdtscp lm constant_tsc rep_good nopl cpuid tsc_known_freq pni pclmulqdq ssse3 cx16 pcid sse4_1 sse4_2 x2apic popcnt tsc_deadline_timer aes hypervisor lahf_lm pti,Xen,c1,c1.xlarge,32K,32K,256K,20480K,1800 MHz,45,Intel(R) Xeon(R) CPU E5-2650 0 @ 2.00GHz,1,0-7,,,,,,,,,,,,0-7,1,7,1,GenuineIntel,,full
6,x86_64,5600.14,Little Endian,2799.946,,6,,,"32-bit, 64-bit",8,AWS,4,2800 MHz,fpu vme de pse tsc msr pae mce cx8 apic sep mtrr pge mca cmov pat pse36 clflush mmx fxsr sse sse2 ht syscall nx rdtscp lm constant_tsc rep_good nopl xtopology cpuid tsc_known_freq pni pclmulqdq ssse3 cx16 pcid sse4_1 sse4_2 x2apic popcnt tsc_deadline_timer aes xsave avx f16c rdrand hypervisor lahf_lm cpuid_fault pti fsgsbase smep erms xsaveopt,Xen,c3,c3.2xlarge,32K,32K,256K,25600K,2800 MHz,62,Intel(R) Xeon(R) CPU E5-2680 v2 @ 2.80GHz,1,0-7,,,,,,,,,,,,0-7,1,4,2,GenuineIntel,,full
7,x86_64,5600.11,Little Endian,2800.180,,6,,,"32-bit, 64-bit",16,AWS,8,2800 MHz,fpu vme de pse tsc msr pae mce cx8 apic sep mtrr pge mca cmov pat pse36 clflush mmx fxsr sse sse2 ht syscall nx rdtscp lm constant_tsc rep_good nopl xtopology cpuid tsc_known_freq pni pclmulqdq ssse3 cx16 pcid sse4_1 sse4_2 x2apic popcnt tsc_deadline_timer aes xsave avx f16c rdrand hypervisor lahf_lm cpuid_fault pti fsgsbase smep erms xsaveopt,Xen,c3,c3.4xlarge,32K,32K,256K,25600K,2800 MHz,62,Intel(R) Xeon(R) CPU E5-2680 v2 @ 2.80GHz,1,0-15,,,,,,,,,,,,0-15,1,4,2,GenuineIntel,,full
8,x86_64,5586.56,Little Endian,2793.232,,6,,,"32-bit, 64-bit",32,AWS,8,2793 MHz,fpu vme de pse tsc msr pae mce cx8 apic sep mtrr pge mca cmov pat pse36 clflush mmx fxsr sse sse2 ht syscall nx rdtscp lm constant_tsc rep_good nopl xtopology cpuid tsc_known_freq pni pclmulqdq ssse3 cx16 pcid sse4_1 sse4_2 x2apic popcnt tsc_deadline_timer aes xsave avx f16c rdrand hypervisor lahf_lm cpuid_fault pti fsgsbase smep erms xsaveopt,Xen,c3,c3.8xlarge,32K,32K,256K,25600K,2793 MHz,62,Intel(R) Xeon(R) CPU E5-2680 v2 @ 2.80GHz,2,"0-7,16-23","8-15,24-31",,,,,,,,,,,0-31,2,4,2,GenuineIntel,,full
9,x86_64,5586.74,Little Endian,2786.554,,6,,,"32-bit, 64-bit",2,AWS,1,2793 MHz,fpu vme de pse tsc msr pae mce cx8 apic sep mtrr pge mca cmov pat pse36 clflush mmx fxsr sse sse2 ht syscall nx rdtscp lm constant_tsc rep_good nopl xtopology cpuid tsc_known_freq pni pclmulqdq ssse3 cx16 pcid sse4_1 sse4_2 x2apic popcnt tsc_deadline_timer aes xsave avx f16c rdrand hypervisor lahf_lm cpuid_fault pti fsgsbase smep erms xsaveopt,Xen,c3,c3.large,32K,32K,256K,25600K,2793 MHz,62,Intel(R) Xeon(R) CPU E5-2680 v2 @ 2.80GHz,1,"0,1",,,,,,,,,,,,"0,1",1,4,2,GenuineIntel,,full
