instance,hour,price
$0.0047 per On Demand Linux t3a.nano,0.036,0.00
$0.0052 per On Demand Linux t3.nano,0.034,0.00
$0.0058 per On Demand Linux t2.nano,5.344,0.03
$0.0094 per On Demand Linux t3a.micro,0.033,0.00
$0.0104 per On Demand Linux t3.micro,740.034,7.70
$0.0116 per On Demand Linux t2.micro,0.033,0.00
$0.0188 per On Demand Linux t3a.small,0.038,0.00
$0.0208 per On Demand Linux t3.small,0.034,0.00
$0.023 per On Demand Linux t2.small,0.034,0.00
$0.0376 per On Demand Linux t3a.medium,0.033,0.00
$0.0416 per On Demand Linux t3.medium,80.001,3.33
$0.0464 per On Demand Linux t2.medium,0.033,0.00
$0.0752 per On Demand Linux t3a.large,0.044,0.00
$0.0765 per On Demand Linux c6a.large,0.033,0.00
$0.077 per On Demand Linux c5a.large,0.808,0.06
$0.0832 per On Demand Linux t3.large,0.044,0.00
$0.085 per On Demand Linux c5.large,67.717,5.76
$0.085 per On Demand Linux c6i.large,0.033,0.00
$0.086 per On Demand Linux c5ad.large,0.033,0.00
$0.086 per On Demand Linux m5a.large,3.392,0.29
$0.0864 per On Demand Linux m6a.large,0.041,0.00
$0.0928 per On Demand Linux t2.large,1.283,0.12
$0.096 per On Demand Linux c5d.large,0.037,0.00
$0.096 per On Demand Linux m5.large,4,0.38
$0.096 per On Demand Linux m6i.large,0.034,0.00
$0.1 per On Demand Linux c4.large,0.493,0.05
$0.10 per On Demand Linux m4.large,0.034,0.00
$0.1008 per On Demand Linux c6id.large,0.036,0.00
$0.103 per On Demand Linux m5ad.large,0.033,0.00
$0.108 per On Demand Linux c5n.large,0.041,0.00
$0.113 per On Demand Linux m5d.large,0.036,0.00
$0.113 per On Demand Linux r5a.large,0.036,0.00
$0.1134 per On Demand Linux c6in.large,0.033,0.00
$0.1134 per On Demand Linux r6a.large,0.034,0.00
$0.11865 per On Demand Linux m6id.large,0.035,0.00
$0.119 per On Demand Linux m5n.large,0.033,0.00
$0.126 per On Demand Linux r5.large,0.046,0.01
$0.126 per On Demand Linux r6i.large,0.043,0.01
$0.131 per On Demand Linux r5ad.large,0.043,0.01
$0.133 per On Demand Linux r4.large,17.462,2.32
$0.1344 per On Demand Linux t4g.xlarge,13.963,1.88
$0.136 per On Demand Linux m5dn.large,0.041,0.01
$0.13923 per On Demand Linux m6in.large,0.044,0.01
$0.144 per On Demand Linux r5d.large,0.041,0.01
$0.149 per On Demand Linux r5b.large,0.041,0.01
$0.149 per On Demand Linux r5n.large,0.034,0.01
$0.1504 per On Demand Linux t3a.xlarge,0.036,0.01
$0.1512 per On Demand Linux r6id.large,0.033,0.01
$0.153 per On Demand Linux c6a.xlarge,0.034,0.01
$0.154 per On Demand Linux c5a.xlarge,0.04,0.01
$0.156 per On Demand Linux i3.large,0.304,0.05
$0.15912 per On Demand Linux m6idn.large,0.033,0.01
$0.1652 per On Demand Linux m5zn.large,0.047,0.01
$0.1664 per On Demand Linux t3.xlarge,6.678,1.11
$0.167 per On Demand Linux r5dn.large,0.044,0.01
$0.17 per On Demand Linux c5.xlarge,0.043,0.01
$0.17 per On Demand Linux c6i.xlarge,0.033,0.01
$0.172 per On Demand Linux c5ad.xlarge,0.048,0.01
$0.172 per On Demand Linux i4i.large,0.033,0.01
$0.172 per On Demand Linux m5a.xlarge,0.035,0.01
$0.1728 per On Demand Linux m6a.xlarge,0.033,0.01
$0.17433 per On Demand Linux r6in.large,0.039,0.01
$0.1856 per On Demand Linux t2.xlarge,0.033,0.01
$0.186 per On Demand Linux z1d.large,0.041,0.01
$0.192 per On Demand Linux c5d.xlarge,0.043,0.01
$0.192 per On Demand Linux m5.xlarge,0.036,0.01
