"API Name","On Demand","RHEL On Demand cost"
"t4g.nano","$0.0042 hourly","unavailable"
"t3a.nano","$0.0047 hourly","unavailable"
"t3.nano","$0.0052 hourly","unavailable"
"t2.nano","$0.0058 hourly","unavailable"
"t4g.micro","$0.0084 hourly","$0.1034 hourly"
"t3a.micro","$0.0094 hourly","$0.0694 hourly"
"t3.micro","$0.0104 hourly","$0.1054 hourly"
"t2.micro","$0.0116 hourly","$0.0716 hourly"
"t4g.small","$0.0168 hourly","$0.1118 hourly"
"t3a.small","$0.0188 hourly","$0.0788 hourly"
"t1.micro","$0.0200 hourly","$0.0800 hourly"
"t3.small","$0.0208 hourly","$0.1158 hourly"
"t2.small","$0.0230 hourly","$0.0830 hourly"
"a1.medium","$0.0255 hourly","$0.1205 hourly"
"t4g.medium","$0.0336 hourly","$0.0936 hourly"
"c6g.medium","$0.0340 hourly","$0.0940 hourly"
"c7g.medium","$0.0363 hourly","$0.0963 hourly"
"t3a.medium","$0.0376 hourly","$0.0976 hourly"
"c6gd.medium","$0.0384 hourly","$0.1334 hourly"
"m6g.medium","$0.0385 hourly","$0.0985 hourly"
"m7g.medium","$0.0408 hourly","$0.1008 hourly"
"t3.medium","$0.0416 hourly","$0.1366 hourly"
"c6gn.medium","$0.0432 hourly","$0.1382 hourly"
"m1.small","$0.0440 hourly","$0.1040 hourly"
"m6gd.medium","$0.0452 hourly","$0.1052 hourly"
"c7gd.medium","$0.0454 hourly","$0.1054 hourly"
"t2.medium","$0.0464 hourly","$0.1064 hourly"
"r6g.medium","$0.0504 hourly","$0.1454 hourly"
"a1.large","$0.0510 hourly","$0.1460 hourly"
"m7gd.medium","$0.0534 hourly","$0.1484 hourly"
"r7g.medium","$0.0536 hourly","$0.1136 hourly"
"r6gd.medium","$0.0576 hourly","$0.1176 hourly"
"m7a.medium","$0.0580 hourly","$0.1530 hourly"
"c7gn.medium","$0.0624 hourly","$0.1224 hourly"
"m3.medium","$0.0670 hourly","$0.1270 hourly"
"t4g.large","$0.0672 hourly","$0.1272 hourly"
"r7gd.medium","$0.0680 hourly","$0.1280 hourly"
"c6g.large","$0.0680 hourly","$0.1630 hourly"
"c7g.large","$0.0725 hourly","$0.1675 hourly"
"t3a.large","$0.0752 hourly","$0.1352 hourly"
"c6a.large","$0.0765 hourly","$0.1715 hourly"
"c6gd.large","$0.0768 hourly","$0.1718 hourly"
"m6g.large","$0.0770 hourly","$0.1720 hourly"
"c5a.large","$0.0770 hourly","$0.1720 hourly"
"m7g.large","$0.0816 hourly","$0.1416 hourly"
"t3.large","$0.0832 hourly","$0.1782 hourly"
"x2gd.medium","$0.0835 hourly","$0.1435 hourly"
"c5.large","$0.0850 hourly","$0.1800 hourly"
"c6i.large","$0.0850 hourly","$0.1800 hourly"
"m5a.large","$0.0860 hourly","$0.1810 hourly"
"c5ad.large","$0.0860 hourly","$0.1810 hourly"
"m6a.large","$0.0864 hourly","$0.1464 hourly"
"c6gn.large","$0.0864 hourly","$0.1814 hourly"
"m1.medium","$0.0870 hourly","$0.1470 hourly"
"m6gd.large","$0.0904 hourly","$0.1504 hourly"
"c7gd.large","$0.0907 hourly","$0.1507 hourly"
"t2.large","$0.0928 hourly","$0.1878 hourly"
"m7i-flex.large","$0.0958 hourly","$0.1908 hourly"
"m6i.large","$0.0960 hourly","$0.1910 hourly"
"m5.large","$0.0960 hourly","$0.1560 hourly"
"c5d.large","$0.0960 hourly","$0.1910 hourly"
"m4.large","$0.1000 hourly","$0.1600 hourly"
"c4.large","$0.1000 hourly","$0.1600 hourly"
"m7i.large","$0.1008 hourly","$0.1958 hourly"
"c6id.large","$0.1008 hourly","$0.1958 hourly"
"r6g.large","$0.1008 hourly","$0.1608 hourly"
